1,2,3,4,5,6,7,8,9,10,11,12,13,14
    0.1635E+04,  0.8000E+00, -0.31722422351189E-12, -0.87789297204679E-12,  0.10147530002230E-08,  0.12903763872085E-08, -0.12498633656992E+02, -0.12056558427696E+02, -0.89936396559719E+01, -0.88892835927664E+01, -0.12029909344720E+02, -0.19175440861231E+01, -0.87847371438646E+01,  0.90440277256214E+00
    0.1661E+04,  0.8000E+00, -0.29638918059189E-12, -0.76466422611039E-12,  0.96546014356954E-09,  0.10851439420679E-08, -0.12528137653915E+02, -0.12116529227277E+02, -0.90152656501964E+01, -0.89645126497422E+01, -0.12086135152724E+02, -0.19405736134024E+01, -0.88378947266953E+01,  0.84369716703344E+00
    0.1687E+04,  0.8000E+00, -0.27626696677372E-12, -0.67156033855027E-12,  0.90990627212264E-09,  0.91297743516696E-09, -0.12558671040547E+02, -0.12172914960624E+02, -0.90410033413013E+01, -0.90395399562046E+01, -0.12138964226826E+02, -0.19610749955870E+01, -0.88897554181791E+01,  0.78708294456380E+00
    0.1712E+04,  0.8000E+00, -0.25749522551505E-12, -0.59413460839727E-12,  0.85148383383079E-09,  0.76865436947003E-09, -0.12589230819251E+02, -0.12226115149192E+02, -0.90698235930857E+01, -0.91142688996977E+01, -0.12188737711703E+02, -0.19797564362895E+01, -0.89403961047628E+01,  0.73431769894734E+00
    0.1738E+04,  0.8000E+00, -0.24034466843540E-12, -0.52901734307714E-12,  0.79259073310444E-09,  0.64770655586933E-09, -0.12619165507381E+02, -0.12276530090008E+02, -0.91009510097020E+01, -0.91886217071402E+01, -0.12235782759980E+02, -0.19972393193624E+01, -0.89898765843649E+01,  0.68514217475393E+00
    0.1764E+04,  0.8000E+00, -0.22486760882081E-12, -0.47364450425842E-12,  0.73487458244893E-09,  0.54633124189990E-09, -0.12648073098248E+02, -0.12324547497489E+02, -0.91337867735662E+01, -0.92625439636868E+01, -0.12280409029752E+02, -0.20140490746092E+01, -0.90382436813647E+01,  0.63928603858665E+00
    0.1789E+04,  0.8000E+00, -0.21099262866625E-12, -0.42605640069251E-12,  0.67942207728047E-09,  0.46130781452618E-09, -0.12675732717145E+02, -0.12370532905855E+02, -0.91678603451826E+01, -0.93360091884074E+01, -0.12322905481328E+02, -0.20306144722786E+01, -0.90855350182070E+01,  0.59647261027363E+00
    0.1815E+04,  0.8000E+00, -0.19858414931996E-12, -0.38474803587101E-12,  0.62690533416701E-09,  0.38992102977389E-09, -0.12702055419172E+02, -0.12414823588553E+02, -0.92027980348517E+01, -0.94090233411945E+01, -0.12363537914826E+02, -0.20472730186479E+01, -0.91317823429544E+01,  0.55642289898863E+00
    0.1840E+04,  0.8000E+00, -0.18747921563428E-12, -0.34855759506716E-12,  0.57769444484709E-09,  0.32989127024537E-09, -0.12727046872127E+02, -0.12457725449551E+02, -0.92383018086467E+01, -0.94816291768294E+01, -0.12402547479757E+02, -0.20642802105079E+01, -0.91770143516892E+01,  0.51885919175097E+00
    0.1866E+04,  0.8000E+00, -0.17750956567067E-12, -0.31658313583117E-12,  0.53194352428085E-09,  0.27931197563523E-09, -0.12750778238631E+02, -0.12499512223430E+02, -0.92741344737109E+01, -0.95539104433151E+01, -0.12440150190475E+02, -0.20818207442716E+01, -0.92212589754501E+01,  0.48350834326006E+00
