   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.2390706577168287e+03,  -5.3605827452221000e-14,  -1.4408242740254000e-14,  -4.2760640847386997e-11,   3.6069783161204999e-11,   1.0000000000000000e+00
   1.2584311367436542e+03,  -5.0748882942338001e-14,  -1.3878576984946001e-14,  -3.9312725254880998e-11,   3.3011594079998001e-11,   1.0000000000000000e+00
   1.2777916157704797e+03,  -4.7945682365422997e-14,  -1.3134094317041000e-14,  -3.6206095464870003e-11,   3.0304622755137001e-11,   1.0000000000000000e+00
   1.2971520947973049e+03,  -4.5214005270042003e-14,  -1.2292858205575000e-14,  -3.3402225680348998e-11,   2.7894046218857000e-11,   1.0000000000000000e+00
   1.3165125738241304e+03,  -4.2575255356590003e-14,  -1.1431020457896000e-14,  -3.0867883916842000e-11,   2.5736475587770000e-11,   1.0000000000000000e+00
   1.3358730528509561e+03,  -4.0048871336400000e-14,  -1.0594750350888999e-14,  -2.8573974197277000e-11,   2.3797086992148001e-11,   1.0000000000000000e+00
   1.3552335318777814e+03,  -3.7649745316519998e-14,  -9.8095036214404007e-15,  -2.6494789930061998e-11,   2.2047510394857000e-11,   1.0000000000000000e+00
   1.3745940109046069e+03,  -3.5387463298551999e-14,  -9.0869690903105008e-15,  -2.4607510151335000e-11,   2.0464287984342001e-11,   1.0000000000000000e+00
   1.3939544899314324e+03,  -3.3266562788977001e-14,  -8.4301065848377004e-15,  -2.2891835777929998e-11,   1.9027752182361000e-11,   1.0000000000000000e+00
   1.4133149689582576e+03,  -3.1287285443050003e-14,  -7.8366852732760005e-15,  -2.1329705571827001e-11,   1.7721207891466001e-11,   1.0000000000000000e+00
   1.4326754479850831e+03,  -2.9446503955773001e-14,  -7.3016862768894998e-15,  -1.9905058173981999e-11,   1.6530332666981000e-11,   1.0000000000000000e+00
   1.4520359270119088e+03,  -2.7738639735302001e-14,  -6.8188723182857996e-15,  -1.8603622564167999e-11,   1.5442731730138000e-11,   1.0000000000000000e+00
   1.4713964060387341e+03,  -2.6156477592041001e-14,  -6.3817645595269002e-15,  -1.7412728410624000e-11,   1.4447602613238000e-11,   1.0000000000000000e+00
   1.4907568850655596e+03,  -2.4691839438425002e-14,  -5.9842101009148998e-15,  -1.6321132601729999e-11,   1.3535477556359000e-11,   1.0000000000000000e+00
   1.5101173640923851e+03,  -2.3336111539328999e-14,  -5.6206759295259999e-15,  -1.5318860549918001e-11,   1.2698021454741001e-11,   1.0000000000000000e+00
   1.5294778431192103e+03,  -2.2080637157799000e-14,  -5.2863669838605998e-15,  -1.4397061751163000e-11,   1.1927870026539000e-11,   1.0000000000000000e+00
   1.5488383221460358e+03,  -2.0916994188435999e-14,  -4.9772366765187002e-15,  -1.3547879265123000e-11,   1.1218497652207000e-11,   1.0000000000000000e+00
   1.5681988011728615e+03,  -1.9837179453359000e-14,  -4.6899363619266000e-15,  -1.2764332656555001e-11,   1.0564107609181000e-11,   1.0000000000000000e+00
   1.5875592801996868e+03,  -1.8833720314231000e-14,  -4.4217343888422001e-15,  -1.2040213727801999e-11,   9.9595396359412007e-12,   1.0000000000000000e+00
   1.6069197592265123e+03,  -1.7899731743464001e-14,  -4.1704241738175997e-15,  -1.1369994181837999e-11,   9.4001912392904006e-12,   1.0000000000000000e+00
   1.6262802382533378e+03,  -1.7028933966266999e-14,  -3.9342330051929998e-15,  -1.0748744226626999e-11,   8.8819501463122000e-12,   1.0000000000000000e+00
   1.6456407172801630e+03,  -1.6215642774209999e-14,  -3.7117380964265999e-15,  -1.0172061071070001e-11,   8.4011359643145006e-12,   1.0000000000000000e+00
   1.6650011963069887e+03,  -1.5454741893038001e-14,  -3.5017930227369000e-15,  -9.6360062606782992e-12,   7.9544495613965007e-12,   1.0000000000000000e+00
   1.6843616753338142e+03,  -1.4741644472559000e-14,  -3.3034655487021002e-15,  -9.1370508422167997e-12,   7.5389289922578006e-12,   1.0000000000000000e+00
   1.7037221543606395e+03,  -1.4072248872598001e-14,  -3.1159865861030001e-15,  -8.6720274154619006e-12,   7.1519110172605999e-12,   1.0000000000000000e+00
   1.7230826333874650e+03,  -1.3442892416265000e-14,  -2.9387093241836001e-15,  -8.2380882142780004e-12,   6.7909974285973000e-12,   1.0000000000000000e+00
   1.7424431124142905e+03,  -1.2850305619268999e-14,  -2.7710772475465000e-15,  -7.8326684487281996e-12,   6.4540255250255997e-12,   1.0000000000000000e+00
   1.7618035914411157e+03,  -1.2291568525009999e-14,  -2.6125996614807002e-15,  -7.4534542284126002e-12,   6.1390421781159002e-12,   1.0000000000000000e+00
   1.7811640704679414e+03,  -1.1764070125334999e-14,  -2.4628333868577000e-15,  -7.0983544706314000e-12,   5.8442810156391003e-12,   1.0000000000000000e+00
   1.8005245494947669e+03,  -1.1265471377993001e-14,  -2.3213694045085998e-15,  -6.7654762731380001e-12,   5.5681423163511000e-12,   1.0000000000000000e+00
   1.8198850285215922e+03,  -1.0793672002895000e-14,  -2.1878233821560001e-15,  -6.4531032993492002e-12,   5.3091752680203004e-12,   1.0000000000000000e+00
   1.8392455075484177e+03,  -1.0346781016919000e-14,  -2.0618291799948002e-15,  -6.1596767839056999e-12,   5.0660622891757997e-12,   1.0000000000000000e+00
   1.8586059865752432e+03,  -9.9230908240865006e-15,  -1.9430345889207001e-15,  -5.8837788188645998e-12,   4.8376051563093000e-12,   1.0000000000000000e+00
   1.8779664656020684e+03,  -9.5210545931173002e-15,  -1.8310986997027000e-15,  -5.6241176263014002e-12,   4.6227127133046999e-12,   1.0000000000000000e+00
   1.8973269446288941e+03,  -9.1392666114203998e-15,  -1.7256904281427999e-15,  -5.3795145624793001e-12,   4.4203899696933002e-12,   1.0000000000000000e+00
