   z,   ex_real,   ex_imag,   hy_real,   hy_imag,   rho
   1.7618035914411157e+03,  -8.0914957082132007e-15,   5.3714246997997003e-15,  -8.4650913128199999e-12,   7.6915654811444005e-12,   5.0000000000000000e+00
   1.7811640704679414e+03,  -7.6672267158941000e-15,   4.6177546034807001e-15,  -8.0673976584243995e-12,   7.3213187299829003e-12,   5.0000000000000000e+00
   1.8005245494947669e+03,  -7.2957899281836006e-15,   3.9376113631648999e-15,  -7.6940568898895998e-12,   6.9747922912022000e-12,   5.0000000000000000e+00
   1.8198850285215922e+03,  -6.9702933791598001e-15,   3.3251549621076000e-15,  -7.3432293435807994e-12,   6.6500786064973998e-12,   5.0000000000000000e+00
   1.8392455075484177e+03,  -6.6846461059496002e-15,   2.7749436203236998e-15,  -7.0132423048671996e-12,   6.3454541145599998e-12,   5.0000000000000000e+00
   1.8586059865752432e+03,  -6.4334703727123001e-15,   2.2819083318793001e-15,  -6.7025721666872002e-12,   6.0593588105706996e-12,   5.0000000000000000e+00
   1.8779664656020684e+03,  -6.2120238469621002e-15,   1.8413293510582999e-15,  -6.4098287810875001e-12,   5.7903783415065002e-12,   5.0000000000000000e+00
   1.8973269446288941e+03,  -6.0161304553466004e-15,   1.4488144042806000e-15,  -6.1337417006996000e-12,   5.5372282925717998e-12,   5.0000000000000000e+00
   1.9166874236557196e+03,  -5.8421188348070996e-15,   1.1002784351703000e-15,  -5.8731480535326004e-12,   5.2987403706896001e-12,   5.0000000000000000e+00
   1.9360479026825449e+03,  -5.6867674527022000e-15,   7.9192471718909000e-16,  -5.6269818330662002e-12,   5.0738502337758002e-12,   5.0000000000000000e+00
   1.9554083817093704e+03,  -5.5472556009591998e-15,   5.2022719204043004e-16,  -5.3942644178269997e-12,   4.8615867506281999e-12,   5.0000000000000000e+00
   1.9747688607361958e+03,  -5.4211195797769000e-15,   2.8191391262946999e-16,  -5.1740961615921004e-12,   4.6610625068554000e-12,   5.0000000000000000e+00
   1.9941293397630211e+03,  -5.3062134789999997e-15,   7.3951486946557994e-17,  -4.9656489180119997e-12,   4.4714653981335997e-12,   5.0000000000000000e+00
   2.0134898187898468e+03,  -5.2006740436895003e-15,  -1.0646956572194999e-16,  -4.7681593825738997e-12,   4.2920511740593999e-12,   1.0000000000000000e+02
   2.0328502978166723e+03,  -5.1028891765360997e-15,  -2.6194862215256998e-16,  -4.5809231509857998e-12,   4.1221368145295004e-12,   1.0000000000000000e+02
   2.0522107768434976e+03,  -5.0114696862111999e-15,  -3.9488799131823002e-16,  -4.4032894068181004e-12,   3.9610946364964004e-12,   1.0000000000000000e+02
   2.0715712558703231e+03,  -4.9252239386413000e-15,  -5.0750523552630000e-16,  -4.2346561629431001e-12,   3.8083470425370997e-12,   1.0000000000000000e+02
   2.0909317348971485e+03,  -4.8431351094191003e-15,  -6.0184482519355999e-16,  -4.0744659912978998e-12,   3.6633618343034002e-12,   1.0000000000000000e+02
   2.1102922139239740e+03,  -4.7643407707602997e-15,  -6.7978916972386999e-16,  -3.9222021840834998e-12,   3.5256480239181000e-12,   5.0000000000000000e+00
   2.1296526929507995e+03,  -4.6881145769406999e-15,  -7.4306906158446000e-16,  -3.7773852968327998e-12,   3.3947520849535999e-12,   5.0000000000000000e+00
